name,english_name,operator,power,source,method,wikidata_id,latitude,longitude,municipality,county,country
Väsa kraftverk,,Fortum Generation AB,15.00 MW,hydro,run-of-the-river,Q81046996,61.17433,14.09175,Älvdalen Municipality,Dalarna County,Sweden
Västraby vindpark,,,14.25 MW,wind,wind_turbine,,,,,,
Strängnäs Solpark,,,14.00 MW,solar,photovoltaic,,,,,,
Tommared,,,13.80 MW,wind,wind_turbine,,,,,,
Nättraby Solpark,,Alight,13.34 MW,solar,photovoltaic,,,,,,
Ryssbol,,Arise Windpower AB,13.20 MW,wind,wind_turbine,,,,,,
Slottsbol,,Slottsbol Drift AB,13.00 MW,wind,wind_turbine,,,,,,
Ätrafors kraftstation,,,13.00 MW,hydro,,,,,,,
Karåsens kraftstation,,Fortum,12.50 MW,hydro,run-of-the-river,,,,,,
Skogaby,,Statkraft Sverige AB,12.50 MW,hydro,,,,,,,
Jung-Åsa vindkraftverk,,Eolus Vind AB,12.00 MW,wind,wind_turbine,,,,,,
Solcellsparken i Linköping,,Alight,12.00 MW,solar,photovoltaic,Q99450361,,,,,
Tavelbergets vindpark,,,12.00 MW,wind,wind_turbine,,,,,,
Laholm vattenkraftverk,,Statkraft Sverige AB,11.30 MW,hydro,,,,,,,
Skåpanäs kraftstation,,,11.00 MW,hydro,water-storage,,,,,,
Nissaström kraftstation,,Statkraft Sverige AB,10.60 MW,hydro,,,,,,,
Kraftvärmeverket i Katrineholm,,Tekniska verken,10.00 MW,biomass,combustion,,,,,,
Porjus gamla kraftstation,,Vattenfall AB,10.00 MW,hydro,,,,,,,
Tåsans kraftverk,,Fortum,10.00 MW,hydro,water-pumped-storage,,,,,,
Vindpark Granberg,,Granberg Vind AB,10.00 MW,wind,wind_turbine,,,,,,
[unnamed],,Svea Solar,9.50 MW,solar,photovoltaic,,,,,,
Skogsforsens kraftverk,,Sydkraft Hydropower AB,9.30 MW,hydro,,,,,,,
Edsforsens kraftverk,,Fortum,9.00 MW,hydro,run-of-the-river,,,,,,
Bällforsen kraftstation,,,8.40 MW,hydro,run-of-the-river,,,,,,
Basebo vindkraftverk,,Eolus Vind AB,8.00 MW,wind,wind_turbine,,,,,,
Bassalt,,,8.00 MW,hydro,,,,,,,
Brattforsens kraftstation,,Fortum,8.00 MW,hydro,run-of-the-river,,,,,,
Knäreds övre kraftverk,,,7.50 MW,hydro,,,,,,,
[unnamed],,Åbro Bryggeri,7.50 MW,solar,photovoltaic,,,,,,
Nolato Solpark,Nolato solar park,Alight,7.20 MW,solar,photovoltaic,,,,,,
Skogaby,,Arise Windpower AB,7.20 MW,wind,wind_turbine,,,,,,
Nains kraftstation,,Fortum,7.00 MW,hydro,run-of-the-river,,,,,,
Ångabäck kraftverk,,,7.00 MW,hydro,,,,,,,
Forshaga kraftverk,,Fortum,6.60 MW,hydro,run-of-the-river,Q49101958,59.525996,13.4996203,Forshaga Municipality,Värmland County,Sweden
Hertings 1 kraftstation,,,6.60 MW,hydro,,,,,,,
Knäreds nedre kraftverk,,,6.60 MW,hydro,,,,,,,
Degerfors kraftverk,,Fortum,6.40 MW,hydro,run-of-the-river,,,,,,
Malta kraftverk,,Fortum,6.10 MW,hydro,run-of-the-river,,,,,,
Karstorp vindkraftverk,,,6.00 MW,wind,wind_turbine,,,,,,
Kilagården vindkraftverk,,Wallenstam Vindkraft Skuggetorp AB,6.00 MW,wind,wind_turbine,,,,,,
Knons kraftverk,,Fortum,6.00 MW,hydro,run-of-the-river,,,,,,
Lindvallens värmeverk,,,6.00 MW,biomass,combustion,,,,,,
Nyckeltorp vindkraftverk,,Eolus Vind AB,6.00 MW,wind,wind_turbine,,,,,,
Simatorp vindkraftverk,,,6.00 MW,wind,wind_turbine,,,,,,
Sunnerstaholm,,Fortum Generation AB,6.00 MW,hydro,water-storage,,,,,,
Torsebro kraftverk,,Uniper Sverige AB,6.00 MW,hydro,,,,,,,
Sparbanken Skånes Solcellspark,,,5.80 MW,solar,photovoltaic,Q64157273,55.619588,13.6767166,,,Sweden
Majenfors ny kraftverk,,,5.70 MW,hydro,,,,,,,
[unnamed],,,5.70 MW,hydro,water-storage,Q96758633,60.032696,13.687021,Hagfors Municipality,Värmland County,Sweden
Kvarnaholm kraftverk,,,5.50 MW,hydro,,,,,,,
Nya Solevi,,Göteborg Energi AB,5.50 MW,solar,photovoltaic,Q56301307,57.78,11.86,Gothenburg Municipality,Västra Götaland County,Sweden
Solinavium,,Göteborg Energi AB,5.50 MW,solar,photovoltaic,,,,,,
Haby kraftstation,,,5.28 MW,hydro,,,,,,,
Majenfors gamla kraftverk,,,4.80 MW,hydro,,,,,,,
Rålanda vindkraftverk,,,4.80 MW,wind,wind_turbine,,,,,,
Varberg Norra,,Solgrid,4.80 MW,solar,photovoltaic,,,,,,
Frykfors kraftverk,,Fortum,4.70 MW,hydro,run-of-the-river,,,,,,
Skeens Kraftverk,,Statkraft Sverige AB,4.60 MW,hydro,,,,,,,
Tängers kraftverk,,Fortum Generation AB,4.60 MW,hydro,,,,,,,
Nöbbelöv Kraftstationen,,Uniper Sverige AB,4.40 MW,hydro,,,,,,,
Vasakronan solcellspark,,Vattenfall,4.40 MW,solar,photovoltaic,,,,,,
[unnamed],,OKQ8/SunStreet Energy,4.30 MW,solar,photovoltaic,,,,,,
Bofors kraftverk,,Fortum,4.20 MW,hydro,,,,,,,
Maredsfors kraftstation,,,4.20 MW,hydro,,,,,,,
Älvestorp kraftverk,,Karlskoga Energi & Miljö AB,4.20 MW,hydro,,,,,,,
Skråmmens kraftstation,,Fortum,4.10 MW,hydro,run-of-the-river,,,,,,
ETC Solpark,,ETC Sol,4.00 MW,solar,photovoltaic,,,,,,
Lejdebergen vindkraftverk,,Bohusvind AB,4.00 MW,wind,wind_turbine,,,,,,
Solpunkten,,C4 Energi,4.00 MW,solar,photovoltaic,,,,,,
Tagelberg vindkraftverk,,Bixia Gryningsvind AB,4.00 MW,wind,wind_turbine,,,,,,
Broby Kraftstationen,,Uniper Sverige AB,3.80 MW,hydro,,,,,,,
Lofsåns Kraftverk,,Härjeåns Kraft AB,3.50 MW,hydro,water-storage,,,,,,
Hertings 2 kraftstation,,,3.30 MW,hydro,run-of-the-river,,,,,,
