name,english_name,operator,power,source,method,wikidata_id,latitude,longitude,municipality,county,country
Fagervollan kraftverk,,Helgeland Kraft Vannkraft,21.00 MW,hydro,water-storage,Q11111315,66.3703,13.65672,Rana Municipality,Nordland,Norway
Gresslifoss kraftverk,,Statkraft,21.00 MW,hydro,run-of-the-river,Q11972583,63.05193,11.48381,Tydal Municipality,Trøndelag,Norway
Okla vindkraftverk,,,21.00 MW,wind,wind_turbine,,,,,,
Slunkajavrre kraftverk,,Nord-Salten Kraft,21.00 MW,hydro,water-storage,Q11111642,67.80769,16.10939,Hamarøy Municipality,Nordland,Norway
Åmdal kraftverk,,Skafså Kraftverk ANS,21.00 MW,hydro,water-storage,Q19399102,59.36454,8.0524,Tokke Municipality,Telemark,Norway
Funna kraftverk,,NTE Energi,20.60 MW,hydro,water-storage,Q17775485,63.43687,11.73411,Meråker Municipality,Trøndelag,Norway
Bjerka kraftverk,,Statkraft,20.00 MW,hydro,water-storage,Q11157106,66.06274,13.99782,Hemnes Municipality,Nordland,Norway
Byrte kraftverk,,Statkraft,20.00 MW,hydro,water-storage,Q5004518,59.4961,7.83333,Tokke Municipality,Telemark,Norway
Logna kraftstasjon,,Å Energi Vannkraft,20.00 MW,hydro,water-storage,,,,,,
Osbu kraftverk,,Statkraft,20.00 MW,hydro,run-of-the-river,Q19384757,62.5081,8.47343,Sunndal Municipality,Møre og Romsdal,Norway
Slind kraftverk,,Selbu Energiverk,20.00 MW,hydro,water-storage,Q19389297,63.1925,10.95157,Selbu Municipality,Trøndelag,Norway
Svandalsflona kraftverk,,Hydro Energi,20.00 MW,hydro,water-storage,Q12004135,59.847,6.95268,Ullensvang Municipality,Vestland,Norway
Skjefstadfoss II kraftverk,,Hafslund Kraft,19.80 MW,hydro,run-of-the-river,Q76814419,60.830555555,11.611666666,Elverum Municipality,Innlandet,Norway
Tosdalen Kraftverk,,Helgeland Kraft Vannkraft,19.30 MW,hydro,run-of-the-river,Q31079161,65.29082,13.0436,Brønnøy Municipality,Nordland,Norway
Gravfoss I kraftverk,,Å Energi Vannkraft,19.00 MW,hydro,run-of-the-river,Q11972493,59.93086,9.94536,Modum Municipality,Buskerud,Norway
Kalvedalen kraftverk,,Hafslund Kraft,19.00 MW,hydro,water-storage,Q11979970,61.25665,8.75864,Vang,Innlandet,Norway
Småvatna kraftverk,,Ymber Produksjon,18.80 MW,hydro,water-storage,Q19389399,69.68916667,22.15555556,Kvænangen Municipality,Troms,Norway
Fjæremsfoss kraftverk,,Statkraft,18.00 MW,hydro,run-of-the-river,Q17772686,63.32211,10.43658,Trondheim municipality,Trøndelag,Norway
Ulvund kraftverk,,Nordmøre Energiverk,18.00 MW,hydro,run-of-the-river,Q19393838,62.83387,8.52142,Sunndal Municipality,Møre og Romsdal,Norway
Faslefoss kraftverk,,Hafslund Kraft,17.80 MW,hydro,water-storage,Q11968561,60.95702,9.30077,Nord-Aurdal Municipality,Innlandet,Norway
