name,english_name,operator,power,source,method,wikidata_id,latitude,longitude,municipality,county,country
Kantin tuulivoimapuisto,,Kantin Tuulipuisto Ky,24.00 MW,wind,,,,,,,
Vartinojan tuulivoimapuisto,,,24.00 MW,wind,,,,,,,
Leppikosken voimalaitos,,Fortum,23.00 MW,hydro,run-of-the-river,Q18682168,64.4554468,27.8869696,Paltamo,Kainuu,Finland
Jouttikallion tuulivoimapuisto,Jouttikallio Wind Farm,OX2,21.00 MW,wind,,,,,,,
Muukon tuulivoimapuisto,,,21.00 MW,wind,,,,,,,
Pirttiselän tuulivoimapuisto,,,21.00 MW,wind,,,,,,,
Vajukosken voimalaitos,,Kemijoki Oy,21.00 MW,hydro,water-storage,Q12008811,67.695833,26.804167,Sodankylä,Lappland,Finland
Helen Aurinkopuisto Kalanti Oy alue 5,,,20.00 MW,solar,photovoltaic,,,,,,
"Vesivoimalaitos, Anjala",,,20.00 MW,hydro,run-of-the-river,Q25454217,60.69771617,26.81365768,Kouvola,Kymenlaakso,Finland
[unnamed],,Kokkolan Energia,20.00 MW,biomass,,,,,,,
Hirvinevan tuulivoimapuisto,,,19.00 MW,wind,,,,,,,
Kuurnan voimala,Kuurna Power Plant; Kuurna Hydro Power Plant,PKS,18.00 MW,hydro,,,,,,,
Leipiön tuulivoimapuisto I,,Simo Leipiö Tuuli,18.00 MW,wind,wind_turbine,Q123476836,65.67345,25.00719,Simo,Lappland,Finland
Lieksankoski,Lieksankoski hydro power plant,Kemijoki,18.00 MW,hydro,run-of-the-river,,,,,,
Keltin voimalaitos,,UPM,17.00 MW,hydro,run-of-the-river,Q20736983,60.8737519,26.6149355,Kouvola,Kymenlaakso,Finland
Tyrvään voimalaitos,,,16.80 MW,hydro,water-storage,Q18662517,61.328866,22.845876,Sastamala,Pirkanmaa,Finland
Äetsän voimalaitos,,UPM Energy Oy,16.00 MW,hydro,run-of-the-river,Q11903209,61.27871,22.696466,Sastamala,Pirkanmaa,Finland
Ämmän vesivoimalaitos,,Fortum,16.00 MW,hydro,run-of-the-river,Q18682942,64.879751,28.911778,Suomussalmi,Kainuu,Finland
Pankakoski,Pankakoski hydro power plant,Kemijoki,15.60 MW,hydro,run-of-the-river,,,,,,
Puhdistamontien lämpölaitos,,Vapo Oy,15.40 MW,biomass,combustion,,,,,,
Kurittukosken voimalaitos,,Kemijoki Oy,15.00 MW,hydro,run-of-the-river,Q27069738,,,,,
Båtskärs vindkraftspark,,Leovind,14.00 MW,wind,,Q124044221,59.96368,19.95466,Lemland,Åland,Finland
Kauttuan voimalaitos,,Adven,14.00 MW,biomass,,,,,,,
Kallioisen voimalaitos,,,13.50 MW,hydro,,Q5484823,64.093725,28.844271,Sotkamo,Kainuu,Finland
Juurakko Hybridipuisto - aurinkopuisto,,,13.00 MW,solar,photovoltaic,,,,,,
Permantokosken vesivoimalaitos,,Kemijoki Oy,13.00 MW,hydro,run-of-the-river,Q18661261,66.4924147,26.1284877,Rovaniemi,Lappland,Finland
Katerman voimalaitos,,,12.50 MW,hydro,,Q18659903,,,,,
Hämeenkyrön biovoimalaitos,,,12.00 MW,biomass,,,,,,,
Kuljunniemi I,,,12.00 MW,wind,,,,,,,
Helen Aurinkopuisto Kalanti Oy alue 6,,,11.00 MW,solar,photovoltaic,,,,,,
Kelukosken voimalaitos,,Kemijoki Oy,11.00 MW,hydro,run-of-the-river,Q19377064,67.45514595,26.59536915,Sodankylä,Lappland,Finland
Matarakoski,,Kemijoki Oy,11.00 MW,hydro,water-storage,,,,,,
Portimokosken voimalaitos,,,10.50 MW,hydro,,Q65242743,66.37866,23.78408,Ylitornio,Lappland,Finland
Korkeakosken voimalaitos,,Kolsin Voima Oy,10.00 MW,hydro,,Q11872611,60.53127778,26.90802778,Kotka,Kymenlaakso,Finland
Niittysmäki-Konkanmäki,,,10.00 MW,wind,,,,,,,
Salo Märynummi,,Exilion Tuuli ky,10.00 MW,wind,,,,,,,
Tiprusniemen lämpövoimalaitos,,Savon Voima Oy,10.00 MW,biomass,combustion,,,,,,
Summan tuulivoimapuisto,,,9.00 MW,wind,,Q124255372,60.54749,27.17429,Hamina,Kymenlaakso,Finland
OSS Ruotsinoja,,,8.80 MW,solar,photovoltaic,,,,,,
Keskikosken voimalaitos,,Tampereen Energia,8.70 MW,hydro,,Q69644030,61.500396897,23.763158207,Tampere,Pirkanmaa,Finland
Biolämpökeskus,,Alajärven Lämpö Oy,8.00 MW,biomass,combustion,,,,,,
Helen Aurinkopuisto Kalanti Oy alue 6,,,8.00 MW,solar,photovoltaic,,,,,,
Hirvikosken voimalaitos,,Vattenfall,8.00 MW,hydro,water-storage,,,,,,
Kaitfors kraftverk,,Herrfors,7.50 MW,hydro,water-storage,Q11869037,63.69421,23.40128,Kronoby,Ostrobothnia,Finland
Hietamankosken voimalaitos,,Vattenfall Oy,7.00 MW,hydro,,,,,,,
Mussalon tuulivoimapuisto,,,7.00 MW,wind,,Q124666005,60.42761,26.8873,Kotka,Kymenlaakso,Finland
Kirkniemen aurinkopuisto,,Helen,6.80 MW,solar,photovoltaic,,,,,,
Koivukosken voimalaitos,,Kainuun Voima Oy,6.50 MW,hydro,water-storage,Q18660114,64.226667,27.735556,Kajaani,Kainuu,Finland
Hinkuan voimalaitos,,Vattenfall,6.30 MW,hydro,water-storage,,,,,,
Atrian Aurinko,Atria Oyj Solar Power Plant Aurinko,Atria Oyj,6.00 MW,solar,photovoltaic,,,,,,
Elkon tuulivoimala,,,6.00 MW,wind,,,,,,,
Hilmon voimalaitos,,Vattenfall Oy,6.00 MW,hydro,,Q41776578,,,,,
Högsåra,,,6.00 MW,wind,,,,,,,
Kyrkösjärven voimalaitos,,Seinäjoen Energia Oy,6.00 MW,hydro,water-storage,,,,,,
Nummelan lämpölaitos,,Adven Oy,6.00 MW,biomass,combustion,,,,,,
Pitkämön voimalaitos,,Koskienergia Koskivoima Oy,6.00 MW,hydro,water-storage,Q20737042,,,,,
Riutukari,,,6.00 MW,wind,,,,,,,
Kiltua,,,5.60 MW,hydro,run-of-the-river,Q18682007,,,,,
Juvan aurinkovoimapuisto,,Solarigo Systems / Lumme,5.20 MW,solar,photovoltaic,,,,,,
Ämmäkosken voimalaitos,,Kainuun Voima Oy,4.90 MW,hydro,water-storage,Q5490165,64.229682,27.730264,Kajaani,Kainuu,Finland
Killinkosken voimalaitos,,Killin Voima,4.50 MW,hydro,run-of-the-river,,,,,,
Stadsforsens kraftverk,,Nykarleby Kraftverk Ab,4.50 MW,hydro,run-of-the-river,,,,,,
Huruskosken voimalaitos,,Stora Enso Oyj,4.40 MW,hydro,,,,,,,
"Yläkosken voimalaitos, Finlayson",,Tampereen Energia,4.40 MW,hydro,,Q80831082,61.502485927,23.759510294,Tampere,Pirkanmaa,Finland
Alakosken voimalaitos,,,4.00 MW,hydro,,Q81436737,61.496111111,23.764444444,Tampere,Pirkanmaa,Finland
Klåsarön voimalaitos,,Helen Oy,4.00 MW,hydro,,,,,,,
Poitzintien kaukolämpölaitos,,Haminan Energia Oy,4.00 MW,biomass,combustion,,,,,,
Uljuan voimalaitos,,Vattenfall,4.00 MW,hydro,run-of-the-river,Q22681739,,,,,
Kuhankosken voimalaitos,,,3.40 MW,hydro,water-storage,,,,,,
"Yläkosken voimalaitos, Tampella",,Tampereen Energia,3.30 MW,hydro,,,,,,,
Ruskeakosken voimalaitos,,Pohjois-Karjalan Sähkö Oy,3.20 MW,hydro,run-of-the-river,Q11891458,62.42697207,30.44163714,Joensuu,North Karelia,Finland
Kaaranneskosken voimalaitos,,Tornionlaakson Voima,3.00 MW,hydro,run-of-the-river,Q18681917,66.647,24.4261,Pello,Lappland,Finland
Verlan voimalaitos,,KSS Energia Oy,3.00 MW,hydro,,,,,,,
[unnamed],,,2.80 MW,solar,photovoltaic,,,,,,
Hamarin voimalaitos,,Killin Voima,2.50 MW,hydro,run-of-the-river,,,,,,
Kattilakosken voimalaitos,,Herrfors,2.30 MW,hydro,run-of-the-river,Q116194298,63.47015,23.30637,Evijärvi,South Ostrobothnia,Finland
Knutsboda vindkraftpark,,,2.00 MW,wind,,Q124023742,60.07926,20.02431,Lemland,Åland,Finland
LEMENE aurinkovoimala,,Lempäälän Energia Oy,2.00 MW,solar,photovoltaic,,,,,,
LEMENE aurinkovoimala,,Lempäälän Energia Oy,2.00 MW,solar,photovoltaic,,,,,,
Pettböle,,,2.00 MW,wind,,,,,,,
Kuokkastenkosken vesivoimalaitos,,PKS Tuotanto,1.95 MW,hydro,run-of-the-river,,,,,,
Koivukosken voimala,,Kolsin Voima Oy,1.90 MW,hydro,run-of-the-river,,,,,,
Siikakosken voimala,,,1.80 MW,hydro,,,,,,,
Soilun voimalaitos,,Koskienergia Oy,1.80 MW,hydro,run-of-the-river,,,,,,
Vääräkosken voimala,,Pohjois-Karjalan Sähkö Oy,1.80 MW,hydro,,Q5398748,62.21437756,30.5008625,Tohmajärvi,North Karelia,Finland
Kissakosken vesivoimalaitos,,Suur-Savon Sähkö,1.60 MW,hydro,run-of-the-river,,,,,,
Saarion voimalaitos,,Pohjois-Karjalan Sähkö Oy,1.60 MW,hydro,run-of-the-river,Q5411563,62.24937406,30.49625979,Tohmajärvi,North Karelia,Finland
Mäntänkosken voimalaitos,,,1.50 MW,hydro,,,,,,,
[unnamed],,Helen,1.50 MW,solar,photovoltaic,,,,,,
Björkfors kraftverk,,,1.40 MW,hydro,run-of-the-river,Q116193420,63.52147,23.21039,Pedersöre,Ostrobothnia,Finland
Vihtakosken voimalaitos,,Pohjois-Karjalan Sähkö O,1.40 MW,hydro,run-of-the-river,Q18662830,62.38236253,30.4626374,Joensuu,North Karelia,Finland
Juvan voimalaitos,,Koskienergia Oy,1.30 MW,hydro,water-storage,,,,,,
Askalan vesivoimalaitos,,Koskienergia Oy,1.00 MW,hydro,water-storage,,,,,,
Juntolankosken voimalaitos,,Koskienergia Oy,1.00 MW,hydro,water-storage,,,,,,
